"Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
11 Jul 2014 06:02:14.076,11 Jul 2014 06:02:22.636,8.560
11 Jul 2014 06:02:22.636,11 Jul 2014 06:37:35.459,2112.822
11 Jul 2014 06:37:35.459,11 Jul 2014 06:37:43.997,8.538
11 Jul 2014 07:39:23.639,11 Jul 2014 07:39:32.199,8.560
11 Jul 2014 07:39:32.199,11 Jul 2014 08:14:45.023,2112.824
11 Jul 2014 08:14:45.023,11 Jul 2014 08:14:53.561,8.538
11 Jul 2014 09:16:33.202,11 Jul 2014 09:16:41.762,8.560
11 Jul 2014 09:16:41.762,11 Jul 2014 09:51:54.587,2112.825
11 Jul 2014 09:51:54.587,11 Jul 2014 09:52:03.125,8.538
11 Jul 2014 10:53:42.765,11 Jul 2014 10:53:51.325,8.560
11 Jul 2014 10:53:51.325,11 Jul 2014 11:29:04.151,2112.826
11 Jul 2014 11:29:04.151,11 Jul 2014 11:29:12.689,8.538
11 Jul 2014 12:30:52.328,11 Jul 2014 12:31:00.888,8.560
11 Jul 2014 12:31:00.888,11 Jul 2014 13:06:13.715,2112.828
11 Jul 2014 13:06:13.715,11 Jul 2014 13:06:22.253,8.538
11 Jul 2014 14:08:01.891,11 Jul 2014 14:08:10.451,8.560
11 Jul 2014 14:08:10.451,11 Jul 2014 14:43:23.280,2112.829
11 Jul 2014 14:43:23.280,11 Jul 2014 14:43:31.817,8.538
11 Jul 2014 15:45:11.453,11 Jul 2014 15:45:20.014,8.560
11 Jul 2014 15:45:20.014,11 Jul 2014 16:20:32.844,2112.830
11 Jul 2014 16:20:32.844,11 Jul 2014 16:20:41.381,8.538
11 Jul 2014 17:22:21.016,11 Jul 2014 17:22:29.576,8.560
11 Jul 2014 17:22:29.576,11 Jul 2014 17:57:42.408,2112.832
11 Jul 2014 17:57:42.408,11 Jul 2014 17:57:50.946,8.538
11 Jul 2014 18:59:30.579,11 Jul 2014 18:59:39.139,8.560
11 Jul 2014 18:59:39.139,11 Jul 2014 19:34:51.972,2112.833
11 Jul 2014 19:34:51.972,11 Jul 2014 19:35:00.510,8.538
11 Jul 2014 20:36:40.142,11 Jul 2014 20:36:48.702,8.560
11 Jul 2014 20:36:48.702,11 Jul 2014 21:12:01.536,2112.834
11 Jul 2014 21:12:01.536,11 Jul 2014 21:12:10.074,8.538
11 Jul 2014 22:13:49.705,11 Jul 2014 22:13:58.265,8.560
11 Jul 2014 22:13:58.265,11 Jul 2014 22:49:11.100,2112.835
11 Jul 2014 22:49:11.100,11 Jul 2014 22:49:19.638,8.537
11 Jul 2014 23:50:59.268,11 Jul 2014 23:51:07.828,8.560
11 Jul 2014 23:51:07.828,12 Jul 2014 00:00:00.000,532.172

